Programme;Station;datetime;cost;profit;order_sum;male in %;new customer in %;vis
1200;25;2020-01-26 14:20:00;8.0;-1.7667759133089325;0.011503422276580383;61.15622492597246;0.0;63
185;30;2020-01-26 14:21:00;33.0;0.6807402160001225;0.039734488075801794;2.2482034912253535;18.284938753792886;199
517;31;2020-01-26 14:22:00;19.0;-1.1128778532194805;0.015429416175652886;57.27781254132046;72.25364661722743;81
936;44;2020-01-26 14:23:00;20.0;0.0;0.0;80.14760760662864;33.604790747415755;90
1404;26;2020-01-26 14:24:00;8.0;0.0;0.0;80.28095612477284;0.0;27
248;33;2020-01-26 14:24:00;5.0;0.0;0.0;95.04453463341817;46.75525975228335;18
5;34;2020-01-26 14:25:00;10.0;0.0;0.0;69.25769379088229;52.27421876569069;27
9;46;2020-01-26 14:30:00;10.0;0.21972763483577462;0.00478259338245029;1.3754749374071062;37.66607273201515;27
83;21;2020-01-26 14:31:00;12.0;1.5337761659925377;0.0069403439179844175;56.65844024307582;67.9059728424687;18
908;15;2020-01-26 14:35:00;9.0;3.868815031457271;0.01855662847632079;9.787303796224457;33.88862432955042;45
1129;10;2020-01-26 14:39:00;15.0;0.0;0.0;55.95597810931725;0.0;90
983;6;2020-01-26 14:41:00;14.0;0.0;0.0;85.59769527862441;45.33509565004303;99
516;5;2020-01-26 14:46:00;30.0;-0.4108688933669311;0.017599110390443512;1.0242213115143728;4.063915566248049;145
1019;7;2020-01-26 14:46:00;54.0;-0.7754942432698919;0.03321743021872374;18.09421420325362;0.0;254
1404;26;2020-01-26 14:49:00;8.0;1.8672187225887904;0.03477248337108972;77.49046527497624;75.11707938916977;163
68;23;2020-01-26 15:05:00;17.0;23.125766157327064;0.052112602790952596;65.78299181879684;26.84316873895851;99
47;25;2020-01-26 15:10:00;8.0;0.0;0.0;57.09266204197956;75.42746771942211;81
269;18;2020-01-26 15:15:00;12.0;0.1533442110171105;0.0019077115215480934;19.95809450307089;18.049969995038992;199
1404;26;2020-01-26 15:19:00;8.0;-0.1338001838121035;0.053898506229725515;98.3815391608769;43.004656496191735;117
1496;16;2020-01-26 15:25:00;165.0;-0.09674593721337768;0.0016780280810260715;59.894092548800494;0.0;108
9;46;2020-01-26 15:30:00;10.0;-0.002050341225246242;0.00022404052598617625;20.24078457743761;0.0;0
639;35;2020-01-26 15:30:00;12.0;-0.002675695298946347;0.00029237288641195994;50.47679828516861;0.0;9
83;21;2020-01-26 15:31:00;12.0;0.0;0.0;39.89461824543137;38.228094271021945;18
1019;7;2020-01-26 15:32:00;54.0;0.0;0.0;59.3552677079507;4.307984470735423;99
530;9;2020-01-26 15:32:00;21.0;0.0;0.0;10.71909427592912;0.0;36
1065;1;2020-01-26 15:35:00;15.0;0.7491326606216865;0.02360109265047401;16.79762056801668;14.623409489631626;45
823;27;2020-01-26 15:35:00;24.0;1.2022777379029388;0.03787722759317664;39.90935999340097;69.6609940770088;81
1265;41;2020-01-26 15:42:00;30.0;-1.597653437565683;0.024270424750073575;87.76130969896101;12.326898575738625;245
784;45;2020-01-26 15:43:00;27.0;-0.1618546958596656;0.0055325200937256245;18.276643453554755;0.0;208
1404;26;2020-01-26 15:44:00;8.0;0.22468061880098794;0.0011091094251999725;5.63138133001403;0.42044115078707023;72
1392;38;2020-01-26 15:52:00;21.0;-2.956418990649484;0.10249967752579678;42.80749733943643;27.212387017332745;108
1087;32;2020-01-26 15:53:00;5.0;0.0;0.0;14.575178638791142;47.57775154546002;18
68;23;2020-01-26 15:55:00;17.0;0.0;0.0;22.242230930961338;46.78050607790469;18
1480;8;2020-01-26 15:56:00;16.0;0.9985019194382562;0.02291353718177007;11.608737625791509;23.361849928502394;18
1377;25;2020-01-26 16:00:00;8.0;0.0;0.0;11.709366464646076;0.0;0
455;18;2020-01-26 16:02:00;12.0;-0.0616189961106169;0.0004455765039822499;21.572150083842125;22.34218439615161;27
284;31;2020-01-26 16:03:00;19.0;-0.29637215101681536;0.0038653603735618364;26.61839333533289;79.2639825361895;36
787;11;2020-01-26 16:06:00;12.0;0.04446987250057672;0.0015950122376778497;96.89295731726803;64.9710490561014;145
1404;26;2020-01-26 16:14:00;8.0;0.0;0.0;99.67753137895316;0.0;154
1203;10;2020-01-26 16:26:00;15.0;-8.217378137507874;0.11262201483522495;4.6095743529401485;0.0;480
9;46;2020-01-26 16:30:00;10.0;0.4067636802230766;0.009579165410081242;10.751710236699497;13.465206756794743;63
894;14;2020-01-26 16:30:00;11.0;0.4647651679585894;0.010945083440778004;13.701995887357388;54.2350451481541;63
960;34;2020-01-26 16:30:00;5.0;0.2006426907497667;0.0047250765406629675;54.371986534773775;3.0227331137607862;27
784;45;2020-01-26 16:30:00;27.0;1.033549532930454;0.024339788473797325;21.184912457980676;55.06683196796257;163
217;23;2020-01-26 16:35:00;17.0;1.3207625824897447;0.03038093737268343;63.79398660610387;53.38432230143461;36
1454;33;2020-01-26 16:36:00;5.0;-0.019710803823144534;5.667958736786537e-05;39.35390278890348;23.815714589416977;9
641;26;2020-01-26 16:39:00;8.0;0.20844549880625507;0.006050114418777448;2.747105327283539;11.81863335513686;54
983;6;2020-01-26 16:45:00;14.0;0.0;0.0;76.09355153047058;19.123160273240323;72
847;0;2020-01-26 16:49:00;39.0;-0.34833147784147256;0.011724333612270894;82.23275636764296;54.60997284385694;27
1396;25;2020-01-26 16:50:00;8.0;-0.05169483137520521;0.0013896514421761492;75.91420317516467;8.627145399943977;9
6;34;2020-01-26 16:55:00;10.0;0.0;0.0;38.87602055238618;58.14926648802599;145
173;7;2020-01-26 17:02:00;30.0;-0.02081098801514329;0.019107878605147535;58.249281074773705;0.0;190
1101;21;2020-01-26 17:02:00;12.0;-0.008287066079572757;0.007608877220345742;37.98885223968206;12.320636956016699;72
155;27;2020-01-26 17:07:00;15.0;1.2463575511814429;0.08743662392237335;40.137161088614526;0.0;54
515;9;2020-01-26 17:08:00;24.0;11.744498627009714;0.07962652538592924;8.161479610012046;21.38650780146159;117
